Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.bram.inst.\native_mem_module.blk_mem_gen_v8_4_7_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0, State: xxx, Next State: 000, Ena: x, Wea: x, Addra:     x, Douta: 000000, Done: x, Done_in: x, Red: xx, Green: xx, Blue: xx, Red_o: xx, Green_o: xx, Blue_o: xx, Done_out: x
Time: 505, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    12, Douta: 000000, Done: 0, Done_in: 0, Red: 07, Green: 07, Blue: 07, Red_o: 04, Green_o: 04, Blue_o: 04, Done_out: 1
Time: 515, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    12, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 525, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    12, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 535, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    12, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 535, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    12, Douta: 040404, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 545, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    13, Douta: 040404, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 555, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    13, Douta: 040404, Done: 0, Done_in: 1, Red: 04, Green: 04, Blue: 04, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 565, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    13, Douta: 040404, Done: 0, Done_in: 1, Red: 04, Green: 04, Blue: 04, Red_o: 03, Green_o: 03, Blue_o: 03, Done_out: 1
Time: 575, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    13, Douta: 040404, Done: 0, Done_in: 1, Red: 04, Green: 04, Blue: 04, Red_o: 03, Green_o: 03, Blue_o: 03, Done_out: 1
Time: 575, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    13, Douta: 000000, Done: 0, Done_in: 1, Red: 04, Green: 04, Blue: 04, Red_o: 03, Green_o: 03, Blue_o: 03, Done_out: 1
Time: 585, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    14, Douta: 000000, Done: 0, Done_in: 0, Red: 04, Green: 04, Blue: 04, Red_o: 03, Green_o: 03, Blue_o: 03, Done_out: 1
Time: 595, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    14, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 605, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    14, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 615, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    14, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 615, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    14, Douta: 030303, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 625, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    15, Douta: 030303, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 635, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    15, Douta: 030303, Done: 0, Done_in: 1, Red: 03, Green: 03, Blue: 03, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 645, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    15, Douta: 030303, Done: 0, Done_in: 1, Red: 03, Green: 03, Blue: 03, Red_o: 01, Green_o: 01, Blue_o: 01, Done_out: 1
Time: 655, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    15, Douta: 030303, Done: 0, Done_in: 1, Red: 03, Green: 03, Blue: 03, Red_o: 01, Green_o: 01, Blue_o: 01, Done_out: 1
Time: 655, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    15, Douta: 000000, Done: 0, Done_in: 1, Red: 03, Green: 03, Blue: 03, Red_o: 01, Green_o: 01, Blue_o: 01, Done_out: 1
Time: 665, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    16, Douta: 000000, Done: 0, Done_in: 0, Red: 03, Green: 03, Blue: 03, Red_o: 01, Green_o: 01, Blue_o: 01, Done_out: 1
Time: 675, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    16, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 685, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    16, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 695, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    16, Douta: 000000, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 695, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    16, Douta: 010101, Done: 0, Done_in: 1, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 705, State: 001, Next State: 010, Ena: 1, Wea: 1, Addra:    17, Douta: 010101, Done: 0, Done_in: 0, Red: 00, Green: 00, Blue: 00, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 715, State: 010, Next State: 011, Ena: 1, Wea: 0, Addra:    17, Douta: 010101, Done: 0, Done_in: 1, Red: 01, Green: 01, Blue: 01, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 0
Time: 725, State: 011, Next State: 100, Ena: 1, Wea: 0, Addra:    17, Douta: 010101, Done: 0, Done_in: 1, Red: 01, Green: 01, Blue: 01, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
Time: 735, State: 100, Next State: 001, Ena: 1, Wea: 1, Addra:    17, Douta: 010101, Done: 0, Done_in: 1, Red: 01, Green: 01, Blue: 01, Red_o: 00, Green_o: 00, Blue_o: 00, Done_out: 1
